ano,geocod,regiao,nivel,quartil,renda_m2
2022,11C1303,Felgueiras,Concelho,3.º quartil,3.99
2022,1D11104,Cadaval,Concelho,2.º quartil,3.99
2022,11C1804,Cinfães,Concelho,3.º quartil,4
2022,1941806,Mangualde,Concelho,3.º quartil,4
2022,1C40706,Montemor-o-Novo,Concelho,2.º quartil,4
2022,1190307,Fafe,Concelho,3.º quartil,4.02
2022,1C11509,Santiago do Cacém,Concelho,1.º quartil,4.02
2022,1190304,Cabeceiras de Basto,Concelho,3.º quartil,4.05
2022,1920602,Cantanhede,Concelho,2.º quartil,4.05
2022,1941814,Santa Comba Dão,Concelho,3.º quartil,4.05
2022,1D31103,Azambuja,Concelho,1.º quartil,4.05
2022,1111608,Valença,Concelho,2.º quartil,4.07
2022,1920605,Figueira da Foz,Concelho,1.º quartil,4.08
2022,11C0305,Celorico de Basto,Concelho,3.º quartil,4.1
2022,11E0407,Mirandela,Concelho,3.º quartil,4.1
2022,1931008,Figueiró dos Vinhos,Concelho,3.º quartil,4.1
2022,1941810,Oliveira de Frades,Concelho,3.º quartil,4.11
2022,1960504,Fundão,Concelho,3.º quartil,4.11
2022,1120301,Amares,Concelho,2.º quartil,4.12
2022,1941802,Carregal do Sal,Concelho,3.º quartil,4.12
2022,1C20210,Moura,Concelho,3.º quartil,4.12
2022,1D21419,Torres Novas,Concelho,2.º quartil,4.12
2022,1111604,Monção,Concelho,2.º quartil,4.13
2022,1941821,Tondela,Concelho,2.º quartil,4.13
2022,1C2,Baixo Alentejo,NUTS III,2.º quartil,4.13
2022,1D11006,Caldas da Rainha,Concelho,1.º quartil,4.13
2022,119,Ave,NUTS III,2.º quartil,4.14
2022,11C0106,Castelo de Paiva,Concelho,3.º quartil,4.14
2022,1941816,São Pedro do Sul,Concelho,2.º quartil,4.16
2022,1190314,Vizela,Concelho,2.º quartil,4.17
2022,1920604,Condeixa-a-Nova,Concelho,2.º quartil,4.17
2022,1920615,Soure,Concelho,3.º quartil,4.17
2022,1D11005,Bombarral,Concelho,2.º quartil,4.17
2022,1931009,Leiria,Concelho,1.º quartil,4.18
2022,1C40713,Viana do Alentejo,Concelho,3.º quartil,4.18
2022,2004301,Angra do Heroísmo,Concelho,2.º quartil,4.18
2022,2004205,Ribeira Grande,Concelho,2.º quartil,4.19
2022,1111609,Viana do Castelo,Concelho,1.º quartil,4.2
2022,1D11014,Peniche,Concelho,1.º quartil,4.2
2022,112,Cávado,NUTS III,1.º quartil,4.21
2022,1920607,Lousã,Concelho,3.º quartil,4.21
2022,1D31405,Benavente,Concelho,1.º quartil,4.21
2022,11E,Terras de Trás-os-Montes,NUTS III,3.º quartil,4.22
2022,1C,Alentejo,NUTS II,2.º quartil,4.23
2022,1C40710,Redondo,Concelho,3.º quartil,4.23
2022,1D31414,Rio Maior,Concelho,2.º quartil,4.23
2022,1C20202,Almodôvar,Concelho,2.º quartil,4.24
2022,1D11101,Alenquer,Concelho,1.º quartil,4.24
2022,1D2,Médio Tejo,NUTS III,2.º quartil,4.24
2022,1910101,Águeda,Concelho,2.º quartil,4.25
2022,1960503,Covilhã,Concelho,2.º quartil,4.25
2022,11A1310,Paredes,Concelho,2.º quartil,4.26
2022,194,Viseu Dão Lafões,NUTS III,2.º quartil,4.26
2022,1C40702,Arraiolos,Concelho,3.º quartil,4.26
2022,1920601,Arganil,Concelho,3.º quartil,4.27
2022,1C40705,Évora,Concelho,1.º quartil,4.27
2022,1D21402,Alcanena,Concelho,3.º quartil,4.28
2022,1190309,Póvoa de Lanhoso,Concelho,3.º quartil,4.29
2022,11C1301,Amarante,Concelho,3.º quartil,4.29
2022,11C1307,Marco de Canaveses,Concelho,3.º quartil,4.29
2022,1910108,Estarreja,Concelho,2.º quartil,4.29
2022,1950509,Sertã,Concelho,3.º quartil,4.29
2022,1910110,Ílhavo,Concelho,1.º quartil,4.3
2022,11C,Tâmega e Sousa,NUTS III,3.º quartil,4.32
2022,PT,Portugal,Nacional,1.º quartil,4.32
2022,1,Continente,NUTS I,1.º quartil,4.33
2022,1111602,Caminha,Concelho,2.º quartil,4.33
2022,1D31403,Almeirim,Concelho,2.º quartil,4.33
2022,1910112,Murtosa,Concelho,2.º quartil,4.34
2022,1D31412,Golegã,Concelho,3.º quartil,4.35
2022,2004201,Lagoa (R.A.A.),Concelho,2.º quartil,4.37
2022,11A1316,Vila do Conde,Concelho,1.º quartil,4.38
2022,11D1805,Lamego,Concelho,3.º quartil,4.38
2022,1C20206,Castro Verde,Concelho,2.º quartil,4.39
2022,1111607,Ponte de Lima,Concelho,2.º quartil,4.4
2022,1D11102,Arruda dos Vinhos,Concelho,1.º quartil,4.4
2022,1D31409,Coruche,Concelho,2.º quartil,4.4
2022,1910102,Albergaria-a-Velha,Concelho,2.º quartil,4.41
2022,1D31406,Cartaxo,Concelho,2.º quartil,4.41
2022,1920609,Miranda do Corvo,Concelho,3.º quartil,4.42
2022,1C40704,Estremoz,Concelho,3.º quartil,4.44
2022,1C4,Alentejo Central,NUTS III,2.º quartil,4.45
2022,1931010,Marinha Grande,Concelho,2.º quartil,4.46
